STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Assam,2005,C.B. OF TRUST,487,89,37840904,3320562
Assam,2005,TOTAL (MANUAL),10589,2881,226208836,53159940
Assam,2005,THEFTS,6369,1869,116337451,30054617
Assam,2006,TOTAL (MANUAL),12583,3159,517377449,181939717
Assam,2006,OTHER KINDS OF PROP. OFF.,528,253,12511377,8789919
Assam,2006,C.B. OF TRUST,461,79,68198861,3485175
Assam,2006,THEFTS,7820,2116,363131214,146555353
Assam,2006,BURGLARY,2911,557,35783913,9818045
Assam,2006,ROBBERY,544,110,11828104,4390325
Assam,2006,DACOITY,319,44,25923980,8900900
Assam,2007,BURGLARY,2603,491,36285212,5730761
Assam,2007,TOTAL (MANUAL),17809,3407,221355879,57835155
Assam,2007,ROBBERY,496,120,14447990,3187208
Assam,2007,THEFTS,7754,2330,102848324,37307228
Assam,2007,C.B. OF TRUST,653,56,34040085,1581103
Assam,2007,OTHER KINDS OF PROP. OFF.,6004,361,19121023,6710027
Assam,2007,DACOITY,299,49,14613245,3318828
Assam,2008,OTHER KINDS OF PROP. OFF.,1177,410,34446017,2440807
Assam,2008,C.B. OF TRUST,680,114,44107861,5186080
Assam,2008,THEFTS,8012,2458,146063921,41888526
Assam,2008,BURGLARY,3147,666,66185132,17965749
Assam,2008,ROBBERY,568,142,26547936,4959153
Assam,2008,DACOITY,312,67,26136146,4455010
Assam,2008,TOTAL (MANUAL),13896,3857,343487013,76895325
Assam,2009,DACOITY,251,37,49749892,23132331
Assam,2009,TOTAL (MANUAL),13289,3171,525464095,144813019
Assam,2009,OTHER KINDS OF PROP. OFF.,763,251,6131307,5946862
Assam,2009,C.B. OF TRUST,802,39,39718582,3101060
Assam,2009,THEFTS,7644,2280,346328773,95067594
Assam,2009,BURGLARY,3149,445,56531036,12984924
Assam,2009,ROBBERY,680,119,27004505,4580248
Assam,2010,DACOITY,248,43,46803955,12335002
Assam,2010,BURGLARY,3458,316,36025717,5554079
Assam,2010,THEFTS,7860,1381,285508811,76554211
Assam,2010,C.B. OF TRUST,992,41,27018001,1646451
Assam,2010,OTHER KINDS OF PROP. OFF.,474,105,15131265,4982729
Assam,2010,TOTAL (MANUAL),13694,1974,424234339,104395362
Assam,2010,ROBBERY,662,88,13746590,3322890
Assam,2011,THEFTS,8309,1559,320419614,76334244
Assam,2011,BURGLARY,3327,347,64810188,9450586
Assam,2011,DACOITY,305,42,45194710,8627196
Assam,2011,ROBBERY,837,134,23932395,6428666
